trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.9, 'e': 0.7188471493117933}",25,8,22.273343888017745,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.7166533173144229}",20,13,15.409221497213274,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.7144661806191586}",25,15,18.525629780191185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.7122857187927718}",35,11,12.778201628988214,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.710111911464394}",25,0,-7.199170702957138,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.9, 'e': 0.7079447383253256}",30,12,-19.821456052552694,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.9, 'e': 0.705784179128847}",25,10,22.11481693015748,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.7036302136900286}",25,18,12.131397162865678,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 0.7014828218855435}",25,12,22.762808593902196,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.6993419836534777}",20,10,-25.175177640178653,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.9, 'e': 0.6972076789931444}",30,14,22.33164817784944,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.6950798879648962}",20,8,17.15589522318918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.6929585906899388}",20,15,9.804915671206818,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.6908437673501457}",20,2,32.33440534250607,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.6887353981878731}",20,8,11.051885838596569,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.6866334635057745}",20,9,20.160512663471817,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.6845379436666176}",20,5,-15.853535445534074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.9, 'e': 0.6824488190931006}",25,18,14.163012623288774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.6803660702676689}",20,6,26.656399710917636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
