trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,3,-79.17702454458217,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.98}",35,0,-285.0885600311959,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-63.40841440473858,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-84.65631963517117,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,6,-9.877730487053936,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
